"Company","Specific.Bean.Origin","REF","Review.Date","Cocoa.Percent","Company.Location","Rating","Bean.Type","Broad.Bean.Origin","Bar.Price"
"A. Morin","Agua Grande",1876,2016,63,"France",3.75,"","Sao Tome",2.53580711595714
"A. Morin","Kpime",1676,2015,70,"France",NA,"","Togo",5.997822326608
"A. Morin","Panama",1011,2013,70,"France",NA,"","Panama",NA
"A. Morin","Madagascar",1011,2013,70,"France",3,"Criollo","Madagascar",7.01456184755079
"A. Morin","Brazil",1011,2013,70,"France",3.25,"","Brazil",5.88909608195536
"A. Morin","Equateur",1011,2013,70,"France",3.75,"","Ecuador",2.83686294965446
"A. Morin","Colombie",1015,2013,70,"France",NA,"","Colombia",8.62517168256454
"A. Morin","Birmanie",1015,2013,70,"France",3,"","Burma",6.39204370556399
"A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,"","Papua New Guinea",7.01894365716726
"A. Morin","Chuao",1015,2013,70,"France",4,"Trinitario","Venezuela",8.97377366083674
"A. Morin","Piura",1019,2013,70,"France",3.25,"","Peru",3.08463206817396
"A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,"","Peru",2.22886177361943
"A. Morin","Atsane",1676,2015,70,"France",3,"","Togo",1.71074059815146
"A. Morin","Chanchamayo Province",1019,2013,63,"France",4,"","Peru",8.48411738243885
"A. Morin","Bolivia",797,2012,70,"France",3.5,"","Bolivia",NA
"A. Morin","Peru",797,2012,63,"France",3.75,"","Peru",NA
"A. Morin","Akata",1680,2015,70,"France",3.5,"","Togo",5.18199347704649
"A. Morin","Quilla",1704,2015,70,"France",3.5,"","Peru",NA
"A. Morin","Carenero",1315,2014,70,"France",NA,"Criollo","Venezuela",7.07826143037528
"A. Morin","Cuba",1315,2014,70,"France",3.5,"","Cuba",1.05670705554076
"A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Criollo","Venezuela",8.19727403996512
"A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Criollo","Venezuela",NA
"A. Morin","Pablino",1319,2014,70,"France",4,"","Peru",7.31426606583409
"Acalli","Chulucanas, El Platanal",1462,2015,70,"U.S.A.",3.75,"","Peru",NA
